x__0,x__1,x__2,x__3,x__4,x__5,x__6,x__7,x__8,x__9,y__0,y__1,y__2,y__3,y__4,y__5,y__6,y__7,y__8,y__9
0.1456692551041303,0.45492700451402135,0.7707838056590222,0.705513226934028,0.7319589730332557,0.43351443489540376,0.8000204571334277,0.5329014146425713,0.08015370917850195,0.45594588118356716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.047887516459941715,0.9329624000750505,0.9470780060029439,0.33535077594001006,0.3094059291400342,0.7680181487450805,0.20386952877685705,0.17846076295399127,0.18859491417448548,0.34700445361481724,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6263216391927974,0.9633157837008631,0.21083399208685016,0.9561006461166511,0.555399665801069,0.9011520429873923,0.8180181933574304,0.16042180997493383,0.648542908120573,0.12409328058844371,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00564508589179924,0.3955161806017494,0.773500702168781,0.566157707292886,0.19264065598707336,0.8411747144619733,0.9137768422492283,0.23722506292270407,0.44819248318227456,0.6377998063140823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.9023430227313984,0.12661520856523822,0.5539516192440809,0.9685239944790129,0.6091002318791362,0.7173040778848189,0.7749555999671643,0.5071130373622724,0.2898552990686951,0.5903745691382535,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5281792333857197,0.34326827930271964,0.8541716556500671,0.36299885808263155,0.48356388808590334,0.7615016181911767,0.8138184927502465,0.8904569543890624,0.6515067326609668,0.25253291606751593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.8473725082277769,0.9092967860914605,0.7147436398076238,0.7669579080335924,0.5135789722286814,0.4934819258874641,0.5826845113501725,0.14718865646585277,0.6759756847124709,0.8613410616424554,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16470458399195842,0.7538770308729308,0.7061820603607597,0.12100318609031835,0.050720324978788645,0.5953635341405692,0.21914663080812313,0.30985864642647365,0.6211733908687608,0.6508305207214754,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7487490901889821,0.568213428238215,0.3337407295084719,0.01252727724286462,0.11402992513415988,0.1928283484433999,0.5252832108667903,0.7201063081299326,0.20914567294674224,0.3898450339202282,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9364167906644235,0.40060947595683594,0.7132090415917072,0.6184843851752674,0.6597342762606756,0.47671096723338546,0.5450878369724225,0.7008343372138875,0.16112705356908175,0.7987538611432622,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.872876195275348,0.047100633349667076,0.19812197934121867,0.24879445997974925,0.0943398478556513,0.13997922995482137,0.6414348713322557,0.12300994434653967,0.06680042808911191,0.9458317215236273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.4020216318730734,0.5405288817459849,0.4741255078502443,0.343665232475586,0.4542179444701848,0.1942025617246439,0.5797369245951253,0.2512183742058559,0.14533077051074172,0.20868097862868074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.4127207478688186,0.9303508400905017,0.5978769009484884,0.9807662143491294,0.4007854450402508,0.260473168207087,0.7106729082386276,0.19047913124896765,0.9980638477753826,0.39054215665450964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
